Curso;Nº do Tópico;Tópico;Foco Principal;Áreas de Aplicação;CHA
Criação de App Android e iOS;9;Aplicativo Expo;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;10;Componentes Nativos - Parte I;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;11;Componentes Nativos - Parte II;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;12;StyleSheet;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;13;Styled Components;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;14;Tailwind CSS;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;15;HOOKs;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;16;Componentes personalizados;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;17;Navegações entre telas;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;18;FlatList e SectionList;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;19;Consumo de API;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;20;Banco de dados offline;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;21;MySQL;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;22;Firebase;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;23;Reanimated;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;24;Animatable;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;25;Build APK;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;26;Build Google Play;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;27;Projeto final YouTube;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de App Android e iOS;28;Dicas finais;Lógica de programação e desenvolvimento de aplicações.;Tecnologia, desenvolvimento de software, automação.;Conhecimentos: estruturas de dados, algoritmos, versionamento, APIs. Habilidades: codificação, depuração, integração, publicação. Atitudes: resolução de problemas, persistência, colaboração.
Criação de Game Profissional;1;Como baixar e instalar a Unity;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;2;Parte 01 Variáveis C# Globais e Locais;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;3;Principais janelas e funções;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;4;Parte 2 Variáveis C#;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;5;Transform, Sprite Renderer;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;6;Outros tipos;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;7;Cenário com sprites padrão;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;8;Variáveis C#;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;9;Rigidbody2d;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;10;Parte 01;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;11;Collider 2d;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;12;Variáveis C# Globais e Locais;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;13;Distance Joint 2d;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;14;Parte 2;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;15;Fixed join 2d, Friction Joint 2D;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;16;Parte 3;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;17;Hinge Joint 2D, Relative Joint 2D;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;18;Parte I Componentes Nativos;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;19;Slider Joint 2D, Spring Joint 2D;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;20;Target Joint 2D e Wheel Joint 2D;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;21;Area Effector 2D;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;22;Buoyancy Effector 2D;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;23;Point Effector 2D;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;24;Platform Effector 2D;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;25;Surface Effector 2D;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;26;Constant Force 2D;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;27;Projeto 2D teste scripts;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;28;Elementos script, criando primeiro script;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;29;Variáveis C# - Parte 01;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;30;Variáveis C# Globais e Locais - Parte 2;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;31;Variáveis C# - Outros tipos - Parte 3;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;32;Métodos padrões C#;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;33;Criar métodos;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;34;Cond If, else;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;35;Cond switch case;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;36;Inputs na unity;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;37;Transform;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;38;Loop while, do while;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;39;Loop For;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;40;Arrays;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;41;Loop Foreach;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;42;Enum;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;43;List;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;44;GetComponent;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;45;Projeto plataforma 2D;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;46;Movimento do player;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;47;Flip do player;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;48;Pulo do personagem;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;49;Pulo duplo personagem;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;50;Pulo com variação de personagem;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;51;Animação de personagem;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;52;Coleta de itens;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;53;UI (interface do usuário);Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;54;Animação e lógica das moedas;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;55;Coletar moedas e ganhar vidas;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;56;Script de controle da caixa;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;57;Animação e uma parte da mecânica de tiro do player;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;58;Lógica de tiro do player;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;59;Terminando mecânica de tiro;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;60;Criando primeiro inimigo;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;61;Segundo inimigo;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;62;Sistema de vida do robô;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;63;Sistema de vida do dino;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;64;Sistema de vidas do player;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;65;Câmera seguir, limitar;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;66;Suavidade da câmera, limitar fase e obj destruidor;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;67;Menu e painel de GameOver;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;68;Scripts para o menu, e o GameOver;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;69;Efeitos sonoros e músicas;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;70;Efeitos sonoros em outros objetos;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;71;Ampliar cena, objeto saída e partículas;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;72;Finalizar fase 1, e criar fase 2, 3 e script;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;73;Finalizando fases;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;74;Preparando o jogo para construção;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;75;Últimos ajustes na construção do jogo;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;76;Iniciando projeto 3D;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;77;Início da lógica de movimentação do player;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Criação de Game Profissional;78;Pulo do player (3D);Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
